PickupDatetimeUTC,DropoffDatetimeUTC,PassengerCount,TripDistance,StoreAndFwd,PickupLocationId,DropoffLocationId,FareAmount,TipAmount
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.76,"No ",162,141,4.50,1.66
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.94,"No ",162,141,8.00,2.20
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.35,"No ",142,141,7.50,2.26
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.5,"No ",142,151,9.50,2.66
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.11,"No ",79,249,7.50,1.13
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.1,"No ",79,45,7.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.7,"No ",114,209,9.00,3.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.9,"No ",114,234,6.50,2.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.08,"No ",229,237,7.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.87,"No ",229,262,7.50,2.26
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.71,"No ",238,143,7.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.3,"No ",238,143,6.50,2.06
01/01/0001 00:00:00,01/01/0001 00:00:00,1,5.11,"No ",137,74,15.50,3.86
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.28,"No ",137,170,3.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,0.31,"No ",79,79,3.50,1.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.4,"No ",79,249,8.00,2.35
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.6,"No ",163,79,9.50,3.32
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.64,"No ",163,161,9.00,2.56
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.82,"No ",170,229,4.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.68,"No ",170,232,13.50,3.46
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.66,"No ",142,166,9.50,2.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.8,"No ",142,141,8.00,2.36
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.79,"No ",249,97,14.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.7,"No ",249,13,14.50,3.66
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2,"No ",249,232,9.00,2.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.4,"No ",249,79,8.00,2.36
